等号,关键字,字体,字形,字数,编号,编号位置,word对象,缩进,对齐方式,大纲级别,标点,中文比例,邮箱符号,字号
0,0,宋体,0,0,5,0,0,1,4,10,0,1,1,0.08333333333333333
0,0,宋体,-1,1,5,0,0,0,1,1,0,0,1,1.0
0,0,宋体,-1,1,5,2,0,0,4,1,0,0,1,0.3333333333333333
0,0,宋体,0,0,5,0,0,1,4,10,0,1,0.985,0.08333333333333333
0,0,宋体,-1,1,5,2,0,0,4,1,0,0,1,0.3333333333333333
0,0,宋体,0,0,5,0,0,1,4,10,0,1,1,0.08333333333333333
0,0,宋体,0,1,5,2,0,-1,4,10,0,0,1,0.08333333333333333
0,0,宋体,0,1,5,2,0,-1,4,10,0,0,1,0.08333333333333333
0,0,宋体,0,1,5,2,0,-1,4,10,0,0,1,0.08333333333333333
0,0,宋体,0,1,5,2,0,-1,4,10,0,0,1,0.08333333333333333
0,0,宋体,0,1,5,2,0,-1,4,10,0,0,1,0.08333333333333333
0,0,宋体,0,1,5,2,0,-1,4,10,0,0,1,0.08333333333333333
0,0,宋体,0,1,5,0,0,0,4,10,0,1,1,0.08333333333333333
0,0,宋体,0,1,5,0,4,0,1,10,0,0,0,0.08333333333333333
0,0,宋体,0,1,5,0,0,0,1,10,0,0,0.3333333,0.08333333333333333
0,0,宋体,0,0,5,0,0,1,4,10,0,1,0.9949749,0.08333333333333333
0,0,宋体,-1,1,5,2,0,0,4,1,0,0,1,0.3333333333333333
0,0,宋体,0,1,5,0,4,1,4,10,0,0,0,0.08333333333333333
0,5,宋体,0,1,5,0,0,1,1,10,0,0,1,0.08333333333333333
0,7,宋体,0,1,5,0,0,1,4,10,0,0,1,0.08333333333333333
0,0,宋体,0,0,5,0,0,0,1,10,0,0,0.765,0.08333333333333333
0,7,宋体,0,1,5,0,0,1,4,10,0,0,1,0.08333333333333333
0,0,宋体,0,0,5,0,0,0,1,10,0,0,0.7437186,0.08333333333333333
0,7,宋体,0,1,5,0,0,0,4,10,0,0,1,0.08333333333333333
0,0,宋体,0,0,5,0,0,0,1,10,0,0,0.6842105,0.08333333333333333
0,0,宋体,0,1,5,0,4,1,4,10,0,0,0,0.08333333333333333
0,5,宋体,0,1,5,0,0,1,1,10,0,0,1,0.08333333333333333
0,7,宋体,0,1,5,0,0,1,4,10,0,0,1,0.08333333333333333
0,0,宋体,0,0,5,0,0,0,1,10,0,0,0.7474227,0.08333333333333333
0,7,宋体,0,1,5,0,0,0,4,10,0,0,1,0.08333333333333333
0,0,宋体,0,0,5,0,0,0,1,10,0,0,0.7435898,0.08333333333333333
0,7,宋体,0,1,5,0,0,0,4,10,0,0,1,0.08333333333333333
0,0,宋体,0,0,5,0,0,0,1,10,0,0,0.7407407,0.08333333333333333
0,0,宋体,0,1,5,0,4,1,1,10,0,0,0,0.08333333333333333
0,5,宋体,0,1,5,0,0,1,1,10,0,0,1,0.08333333333333333
0,7,宋体,0,1,5,0,0,1,4,10,0,0,1,0.08333333333333333
0,0,宋体,0,0,5,0,0,0,1,10,0,0,0.726257,0.08333333333333333
0,0,宋体,0,0,5,0,0,1,4,10,0,1,0.9770115,0.08333333333333333
0,7,宋体,0,1,5,0,0,1,4,10,0,0,1,0.08333333333333333
0,0,宋体,0,0,5,0,0,0,1,10,0,0,0.7435898,0.08333333333333333
0,0,宋体,-1,1,5,2,0,0,4,1,0,0,1,0.3333333333333333
0,0,宋体,0,1,5,0,0,1,4,10,0,1,0.9705882,0.08333333333333333
0,0,宋体,0,1,5,0,4,1,1,10,0,0,0,0.08333333333333333
0,0,宋体,0,1,5,0,0,1,1,10,0,0,1,0.08333333333333333
0,0,宋体,0,0,5,0,0,1,4,10,0,1,0.9842106,0.08333333333333333
0,0,宋体,-1,1,5,0,0,0,1,1,0,0,1,1.0
0,0,宋体,0,0,5,0,0,1,4,10,0,1,0.9874214,0.08333333333333333
0,0,宋体,0,1,5,0,4,1,4,10,0,0,0,0.08333333333333333
0,5,宋体,0,1,5,0,0,1,1,10,0,0,1,0.08333333333333333
0,0,宋体,-1,1,5,2,0,0,4,1,0,0,1,0.3333333333333333
0,0,宋体,0,0,5,0,0,1,4,10,0,1,0.62,0.08333333333333333
0,0,宋体,0,1,5,0,4,1,1,10,0,0,0,0.08333333333333333
0,0,宋体,0,1,5,0,0,1,1,10,0,0,1,0.08333333333333333
0,0,宋体,-1,1,5,2,0,0,4,1,0,0,1,0.3333333333333333
0,0,宋体,0,0,5,0,0,1,4,10,0,1,0.980198,0.08333333333333333
0,0,宋体,0,1,5,2,0,-1,4,10,0,1,1,0.08333333333333333
0,0,宋体,0,0,3,2,0,-1,4,10,0,1,0.9722222,0.08333333333333333
0,0,宋体,0,1,3,2,0,-1,4,10,0,1,1,0.08333333333333333
0,0,宋体,0,0,5,0,0,1,4,10,0,1,0.9946524,0.08333333333333333
0,0,宋体,0,1,5,2,0,-1,4,10,0,1,1,0.08333333333333333
0,0,宋体,0,0,3,2,0,-1,4,10,0,1,0.9677419,0.08333333333333333
0,0,宋体,0,1,3,2,0,-1,4,10,0,1,0.9655172,0.08333333333333333
0,0,宋体,0,0,5,0,0,1,4,10,0,1,0.99,0.08333333333333333
0,0,宋体,0,0,3,2,0,-1,4,10,0,1,0.983871,0.08333333333333333
0,0,宋体,0,0,5,0,0,1,4,10,0,1,1,0.08333333333333333
0,0,宋体,0,0,3,2,0,-1,4,10,0,1,1,0.08333333333333333
0,0,宋体,0,0,3,2,0,-1,4,10,0,1,1,0.08333333333333333
0,0,宋体,0,1,5,2,0,-1,4,10,0,1,1,0.08333333333333333
0,0,宋体,0,0,3,2,0,-1,4,10,0,1,0.9677419,0.08333333333333333
0,0,宋体,0,1,3,2,0,-1,4,10,0,1,1,0.08333333333333333
0,0,宋体,0,0,3,2,0,-1,4,10,0,1,1,0.08333333333333333
0,0,宋体,0,0,3,2,0,-1,4,10,0,1,1,0.08333333333333333
0,0,宋体,-1,1,5,2,0,0,4,1,0,0,1,0.3333333333333333
0,0,宋体,0,0,5,0,0,1,4,10,0,1,1,0.08333333333333333
0,0,宋体,-1,1,8,2,0,0,4,2,0,0,1,0.08333333333333333
0,7,宋体,0,1,5,0,0,1,1,10,0,0,1,0.08333333333333333
0,0,宋体,0,0,5,0,0,0,4,10,0,0,0.1909548,0.08333333333333333
0,0,宋体,0,0,5,0,0,1,4,10,0,1,0.9591837,0.08333333333333333
0,0,宋体,-1,1,8,2,0,0,4,2,0,0,1,0.08333333333333333
0,7,宋体,0,1,5,0,0,1,1,10,0,0,1,0.08333333333333333
0,0,宋体,0,0,5,0,0,0,4,10,0,0,0.165,0.08333333333333333
0,0,宋体,0,1,5,0,0,1,4,10,0,1,0.8021978,0.08333333333333333
0,0,宋体,-1,1,8,2,0,0,4,2,0,0,1,0.08333333333333333
0,7,宋体,0,1,5,0,0,1,1,10,0,0,1,0.08333333333333333
0,0,宋体,0,0,5,0,0,0,4,10,0,0,0.22,0.08333333333333333
0,0,宋体,0,0,5,0,0,1,4,10,0,1,0.925,0.08333333333333333
0,0,宋体,-1,1,8,2,0,0,4,2,0,0,1,0.08333333333333333
0,7,宋体,0,1,5,0,0,1,1,10,0,0,1,0.08333333333333333
0,0,宋体,0,0,5,0,0,0,4,10,0,0,0.205,0.08333333333333333
0,0,宋体,-1,1,8,2,0,0,4,2,0,0,1,0.08333333333333333
0,7,宋体,0,1,5,0,0,1,1,10,0,0,1,0.08333333333333333
0,0,宋体,0,0,5,0,0,0,4,10,0,0,0.205,0.08333333333333333
0,0,宋体,-1,1,8,2,0,0,4,2,0,0,1,0.08333333333333333
0,7,宋体,0,1,5,0,0,1,1,10,0,0,1,0.08333333333333333
0,0,宋体,0,0,5,0,0,0,4,10,0,0,0.2110553,0.08333333333333333
0,0,宋体,-1,1,8,2,0,0,4,2,0,0,1,0.08333333333333333
0,7,宋体,0,1,5,0,0,1,1,10,0,0,1,0.08333333333333333
0,0,宋体,0,0,5,0,0,0,4,10,0,0,0.205,0.08333333333333333
0,0,宋体,-1,1,8,2,0,0,4,2,0,0,1,0.08333333333333333
0,7,宋体,0,1,5,0,0,1,1,10,0,0,1,0.08333333333333333
0,0,宋体,0,0,5,0,0,0,4,10,0,0,0.245,0.08333333333333333
0,0,宋体,0,0,5,0,0,1,4,10,0,1,0.8441558,0.08333333333333333
0,0,宋体,-1,1,8,2,0,0,4,2,0,0,1,0.08333333333333333
0,7,宋体,0,1,5,0,0,1,1,10,0,0,1,0.08333333333333333
0,0,宋体,0,0,5,0,0,0,4,10,0,0,0.22,0.08333333333333333
0,0,宋体,0,1,5,0,0,1,4,10,0,1,1,0.08333333333333333
0,0,宋体,-1,1,8,2,0,0,4,2,0,0,1,0.08333333333333333
0,7,宋体,0,1,5,0,0,1,1,10,0,0,1,0.08333333333333333
0,0,宋体,0,0,5,0,0,0,4,10,0,0,0.2602041,0.08333333333333333
0,0,宋体,0,0,5,0,0,1,4,10,0,1,0.8961039,0.08333333333333333
0,0,宋体,-1,1,8,2,0,0,4,2,0,0,1,0.08333333333333333
0,7,宋体,0,1,5,0,0,1,1,10,0,0,1,0.08333333333333333
0,0,宋体,0,0,5,0,0,0,4,10,0,0,0.185,0.08333333333333333
0,0,宋体,-1,1,8,2,0,0,4,2,0,0,1,0.08333333333333333
0,7,宋体,0,1,5,0,0,1,1,10,0,0,1,0.08333333333333333
0,0,宋体,0,0,5,0,0,0,4,10,0,0,0.185,0.08333333333333333
0,0,宋体,-1,1,8,2,0,0,4,2,0,0,1,0.08333333333333333
0,7,宋体,0,1,5,0,0,1,1,10,0,0,1,0.08333333333333333
0,0,宋体,0,0,5,0,0,0,4,10,0,0,0.19,0.08333333333333333
0,0,宋体,0,1,5,0,0,1,4,10,0,1,1,0.08333333333333333
0,0,宋体,-1,1,5,2,0,0,4,1,0,0,1,0.3333333333333333
0,0,宋体,0,0,5,0,0,1,3,10,0,1,0.995,0.08333333333333333
0,0,宋体,-1,1,5,0,0,0,1,1,0,0,1,1.0
0,0,宋体,-1,1,5,2,0,0,4,1,0,0,1,0.3333333333333333
0,0,宋体,-1,1,8,2,0,0,4,2,0,0,1,0.08333333333333333
0,0,宋体,0,1,5,0,2,1,4,10,0,0,0,0.08333333333333333
0,5,宋体,0,1,5,0,0,1,1,10,0,0,1,0.08333333333333333
0,0,宋体,0,1,5,0,2,1,4,10,0,0,0,0.08333333333333333
0,5,宋体,0,1,5,0,0,1,1,10,0,0,1,0.08333333333333333
0,0,宋体,-1,1,8,2,0,0,4,2,0,0,1,0.08333333333333333
0,0,宋体,0,1,5,0,2,1,4,10,0,0,0,0.08333333333333333
0,5,宋体,0,1,5,0,0,1,1,10,0,0,1,0.08333333333333333
0,0,宋体,0,1,5,0,0,1,4,10,0,1,1,0.08333333333333333
0,0,宋体,-1,1,8,2,0,0,4,2,0,0,1,0.08333333333333333
0,0,宋体,0,1,5,0,2,1,4,10,0,0,0,0.08333333333333333
0,5,宋体,0,1,5,0,0,1,1,10,0,0,1,0.08333333333333333
0,0,宋体,0,1,5,0,0,1,4,10,0,1,1,0.08333333333333333
0,0,宋体,-1,1,8,2,0,0,4,2,0,0,1,0.08333333333333333
0,0,宋体,0,1,5,0,2,1,4,10,0,0,0,0.08333333333333333
0,5,宋体,0,1,5,0,0,1,1,10,0,0,1,0.08333333333333333
0,0,宋体,0,1,5,0,0,1,4,10,0,1,1,0.08333333333333333
0,0,宋体,-1,1,8,2,0,0,4,2,0,0,1,0.08333333333333333
0,0,宋体,0,1,5,0,2,1,4,10,0,0,0,0.08333333333333333
0,5,宋体,0,1,5,0,0,1,1,10,0,0,1,0.08333333333333333
0,0,宋体,0,0,5,0,0,1,4,10,0,1,1,0.08333333333333333
0,0,宋体,-1,1,8,2,0,0,4,2,0,0,1,0.08333333333333333
0,0,宋体,0,1,5,0,2,1,4,10,0,0,0,0.08333333333333333
0,5,宋体,0,1,5,0,0,1,1,10,0,0,1,0.08333333333333333
0,0,宋体,0,1,5,0,0,1,4,10,0,1,1,0.08333333333333333
0,0,宋体,0,1,5,0,2,1,4,10,0,0,0,0.08333333333333333
0,5,宋体,0,1,5,0,0,1,1,10,0,0,1,0.08333333333333333
0,0,宋体,0,1,5,0,0,1,4,10,0,1,1,0.08333333333333333
0,0,宋体,-1,1,8,2,0,0,4,2,0,0,1,0.08333333333333333
0,0,宋体,0,1,5,0,2,1,4,10,0,0,0,0.08333333333333333
0,5,宋体,0,1,5,0,0,1,1,10,0,0,1,0.08333333333333333
0,0,宋体,0,1,5,0,0,1,4,10,0,1,1,0.08333333333333333
0,0,宋体,-1,1,8,2,0,0,4,2,0,0,1,0.08333333333333333
0,0,宋体,0,1,5,0,2,1,4,10,0,0,0,0.08333333333333333
0,5,宋体,0,1,5,0,0,1,1,10,0,0,1,0.08333333333333333
0,0,宋体,0,0,5,0,0,1,4,10,0,1,1,0.08333333333333333
0,0,宋体,-1,1,8,2,0,0,4,2,0,0,1,0.08333333333333333
0,0,宋体,0,1,5,0,2,0,1,10,0,0,0,0.08333333333333333
0,5,宋体,0,1,5,0,0,0,1,10,0,0,1,0.08333333333333333
0,0,宋体,0,0,5,0,0,0,4,10,0,1,1,0.08333333333333333
0,0,宋体,-1,1,8,2,0,0,4,2,0,0,1,0.08333333333333333
0,0,宋体,0,1,5,0,2,1,4,10,0,0,0,0.08333333333333333
0,5,宋体,0,1,5,0,0,1,1,10,0,0,1,0.08333333333333333
0,0,宋体,0,0,5,0,0,1,4,10,0,1,1,0.08333333333333333
0,0,宋体,-1,1,8,2,0,0,4,2,0,0,1,0.08333333333333333
0,0,宋体,0,1,5,0,2,1,4,10,0,0,0,0.08333333333333333
0,5,宋体,0,1,5,0,0,1,1,10,0,0,1,0.08333333333333333
0,0,宋体,0,1,5,0,0,1,4,10,0,1,1,0.08333333333333333
0,0,宋体,-1,1,8,2,0,0,4,2,0,0,1,0.08333333333333333
0,0,宋体,0,1,5,0,2,1,4,10,0,0,0,0.08333333333333333
0,5,宋体,0,1,5,0,0,1,1,10,0,0,1,0.08333333333333333
0,0,宋体,0,1,5,0,0,1,4,10,0,1,1,0.08333333333333333
0,0,宋体,-1,1,5,2,0,0,4,1,0,0,1,0.3333333333333333
0,0,宋体,-1,1,8,2,0,0,4,2,0,0,1,0.08333333333333333
0,0,宋体,0,0,5,0,0,1,4,10,0,1,0.8289474,0.08333333333333333
0,0,宋体,0,0,5,0,0,1,4,10,0,1,0.08,0.08333333333333333
0,0,宋体,0,0,5,0,0,1,4,10,0,1,0.7361111,0.08333333333333333
0,0,宋体,0,0,5,0,0,1,4,10,0,1,0.07142857,0.08333333333333333
0,0,宋体,0,0,5,0,0,1,4,10,0,1,0.7403846,0.08333333333333333
0,0,宋体,-1,1,8,2,0,0,4,2,0,0,1,0.08333333333333333
0,0,宋体,0,0,5,0,0,1,4,10,1,1,0.965,0.08333333333333333
0,0,宋体,0,1,5,0,2,1,4,10,0,0,0,0.08333333333333333
0,5,宋体,0,1,5,0,0,1,1,10,0,0,0.4736842,0.08333333333333333
0,0,宋体,0,0,5,0,0,1,4,10,0,1,0.97,0.08333333333333333
0,0,宋体,-1,1,8,2,0,0,4,2,0,0,1,0.08333333333333333
0,0,宋体,0,0,5,0,0,1,4,10,0,1,0.755,0.08333333333333333
0,0,宋体,0,1,5,0,2,1,4,10,0,0,0,0.08333333333333333
0,5,宋体,0,1,5,0,0,1,1,10,0,0,0.1304348,0.08333333333333333
0,0,宋体,-1,1,8,2,0,0,4,2,0,0,1,0.08333333333333333
0,0,宋体,0,0,5,0,0,1,4,10,0,1,0.985,0.08333333333333333
0,0,宋体,0,1,5,0,2,1,4,10,0,0,0,0.08333333333333333
0,5,宋体,0,1,5,0,0,1,1,10,0,0,0.2857143,0.08333333333333333
0,0,宋体,0,1,5,0,0,1,4,10,0,1,1,0.08333333333333333
0,0,宋体,0,1,5,0,2,1,4,10,0,0,0,0.08333333333333333
0,5,宋体,0,1,5,0,0,1,1,10,0,0,1,0.08333333333333333
0,0,宋体,0,0,5,0,0,1,4,10,0,1,0.9891892,0.08333333333333333
0,0,宋体,0,1,5,0,2,1,4,10,0,0,0,0.08333333333333333
0,5,宋体,0,1,5,0,0,1,1,10,0,0,0.5625,0.08333333333333333
0,0,宋体,0,0,5,0,0,1,4,10,0,1,0.995,0.08333333333333333
0,0,宋体,0,1,5,0,2,1,4,10,0,0,0,0.08333333333333333
0,5,宋体,0,1,5,0,0,1,1,10,0,0,0.6111111,0.08333333333333333
0,0,宋体,-1,1,8,2,0,0,4,2,0,0,1,0.08333333333333333
0,0,宋体,0,0,5,0,0,1,4,10,0,1,0.98,0.08333333333333333
0,0,宋体,0,1,5,0,2,1,4,10,0,0,0,0.08333333333333333
0,5,宋体,0,1,5,0,0,1,1,10,0,0,0.375,0.08333333333333333
0,0,宋体,-1,1,8,2,0,0,4,2,0,0,1,0.08333333333333333
0,0,宋体,0,0,5,0,0,1,4,10,0,1,0.99,0.08333333333333333
0,0,宋体,0,1,5,0,2,1,4,10,0,0,0,0.08333333333333333
0,5,宋体,0,1,5,0,0,1,1,10,0,0,0.65,0.08333333333333333
0,0,宋体,-1,1,8,2,0,0,4,2,0,0,1,0.08333333333333333
0,0,宋体,0,0,5,0,0,1,4,10,0,1,0.97,0.08333333333333333
0,0,宋体,0,1,5,0,2,1,4,10,0,0,0,0.08333333333333333
0,5,宋体,0,1,5,0,0,1,1,10,0,0,1,0.08333333333333333
0,0,宋体,0,1,5,0,2,1,4,10,0,0,0,0.08333333333333333
0,5,宋体,0,1,5,0,0,1,1,10,0,0,1,0.08333333333333333
0,0,宋体,0,0,5,0,0,1,4,10,0,1,0.935,0.08333333333333333
0,0,宋体,0,1,5,0,2,1,4,10,0,0,0,0.08333333333333333
0,5,宋体,0,1,5,0,0,1,1,10,0,0,1,0.08333333333333333
0,0,宋体,0,0,5,0,0,1,4,10,0,1,0.99,0.08333333333333333
0,0,宋体,-1,1,8,2,0,0,4,2,0,0,1,0.08333333333333333
0,0,宋体,0,0,5,0,0,1,4,10,0,1,0.99,0.08333333333333333
0,0,宋体,-1,1,8,2,0,0,4,2,0,0,1,0.08333333333333333
0,0,宋体,0,0,5,0,0,1,4,10,0,1,0.995,0.08333333333333333
0,0,宋体,-1,1,8,2,0,0,4,2,0,0,1,0.08333333333333333
0,0,宋体,0,0,5,0,0,1,4,10,0,1,0.92,0.08333333333333333
0,0,宋体,0,1,5,0,2,1,4,10,0,0,0,0.08333333333333333
0,5,宋体,0,1,5,0,0,1,1,10,0,0,0.5,0.08333333333333333
0,0,宋体,0,1,5,0,2,1,4,10,0,0,0,0.08333333333333333
0,5,宋体,0,1,5,0,0,1,1,10,0,0,0.4444444,0.08333333333333333
0,0,宋体,0,0,5,0,0,1,4,10,0,1,0.9946237,0.08333333333333333
0,0,宋体,-1,1,5,2,0,0,4,1,0,0,1,0.3333333333333333
0,0,宋体,-1,1,8,2,0,0,4,2,0,0,0.4,0.08333333333333333
0,0,宋体,0,0,5,0,0,1,4,10,0,1,0.53,0.08333333333333333
0,0,宋体,0,1,5,0,2,1,4,10,0,0,0,0.08333333333333333
0,5,宋体,0,1,5,0,0,1,1,10,0,0,0.1904762,0.08333333333333333
0,0,宋体,-1,1,8,2,0,0,4,2,0,0,0.4,0.08333333333333333
0,0,宋体,0,0,5,0,0,1,4,10,0,1,0.6518987,0.08333333333333333
0,0,宋体,0,1,5,0,2,1,4,10,0,0,0,0.08333333333333333
0,5,宋体,0,1,5,0,0,1,1,10,0,0,0.1111111,0.08333333333333333
0,0,宋体,-1,1,5,0,0,0,1,1,0,0,1,1.0
0,0,宋体,-1,1,5,2,0,0,4,1,0,0,1,0.3333333333333333
0,0,宋体,0,0,5,0,0,1,4,10,0,1,0.985,0.08333333333333333
0,0,宋体,-1,1,5,2,0,0,4,1,0,0,1,0.3333333333333333
0,0,宋体,0,0,5,0,0,1,4,10,0,1,0.955,0.08333333333333333
0,0,宋体,-1,1,5,0,0,0,1,1,0,0,1,1.0
0,0,宋体,-1,1,5,2,0,0,4,1,0,0,1,0.3333333333333333
0,0,宋体,0,0,5,0,0,1,4,10,0,1,0.935,0.08333333333333333
0,0,宋体,-1,1,5,2,0,0,4,1,0,0,1,0.3333333333333333
0,0,宋体,0,0,5,0,0,1,4,10,0,1,0.995,0.08333333333333333
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
0,0,宋体,0,0,5,0,0,1,3,10,0,1,0.985,0.21428571428571427
0,4,宋体,-1,1,5,0,0,0,4,10,0,0,0.9333333,0.21428571428571427
0,0,TimesNewRoman,0,0,5,0,0,0,3,10,0,1,0,0.42857142857142855
0,2,TimesNewRoman,0,0,5,0,0,0,3,10,0,0,0,0.42857142857142855
0,0,TimesNewRoman,-1,1,5,0,0,0,1,1,0,0,1,1.0
0,0,宋体,0,0,5,0,0,1,3,10,0,1,0.7121212,0.21428571428571427
0,5,宋体,0,1,5,0,0,0,1,10,0,0,0.25,0.0
0,5,宋体,0,1,5,0,0,0,1,10,0,0,1,0.0
0,0,宋体,0,0,5,0,0,1,4,10,0,1,0.9346734,0.21428571428571427
0,0,Cambria,-1,1,5,2,0,0,4,2,0,0,1,0.42857142857142855
0,0,宋体,0,0,5,0,0,1,4,10,0,1,0.96,0.21428571428571427
0,0,Cambria,-1,1,5,2,0,0,4,2,0,0,1,0.42857142857142855
0,0,宋体,0,0,5,0,0,1,3,10,0,1,0.9836066,0.21428571428571427
0,0,Cambria,-1,1,5,2,0,0,4,2,0,0,1,0.42857142857142855
0,0,宋体,0,0,5,0,0,1,3,10,0,1,0.965,0.21428571428571427
0,0,Cambria,-1,1,5,2,0,0,4,2,0,0,1,0.42857142857142855
0,0,宋体,0,0,5,0,0,1,3,10,0,1,0.93,0.21428571428571427
0,0,Cambria,-1,1,5,2,0,0,4,2,0,0,1,0.42857142857142855
0,0,宋体,0,0,5,0,0,1,3,10,0,1,1,0.21428571428571427
0,0,宋体,0,1,5,0,2,0,4,10,0,0,0,0.42857142857142855
0,5,宋体,0,1,5,0,0,1,1,10,0,0,1,0.0
0,0,Cambria,-1,1,5,2,0,0,4,2,0,0,1,0.42857142857142855
0,0,宋体,0,0,5,0,0,1,3,10,0,1,0.9541985,0.21428571428571427
0,0,Cambria,-1,1,5,2,0,0,4,2,0,0,1,0.42857142857142855
0,0,宋体,0,0,5,0,0,1,3,10,0,1,0.985,0.21428571428571427
0,0,Cambria,-1,1,5,2,0,0,4,2,0,0,1,0.42857142857142855
0,0,宋体,0,0,5,0,0,1,3,10,0,1,0.91,0.21428571428571427
0,0,宋体,-1,1,5,2,0,0,1,1,0,0,1,1.0
0,0,宋体,0,0,5,0,0,1,3,10,0,1,0.6388889,0.21428571428571427
0,5,宋体,0,1,5,0,0,0,1,10,0,0,1,0.0
0,0,宋体,0,0,5,0,0,0,4,10,0,1,0.9520958,0.21428571428571427
0,0,Cambria,-1,1,5,2,0,0,4,2,0,0,1,0.42857142857142855
0,0,宋体,0,0,5,0,0,1,3,10,0,1,0.8994975,0.21428571428571427
0,0,TimesNewRoman,-1,1,8,2,0,0,4,3,0,0,0.5714286,0.21428571428571427
0,0,宋体,0,0,5,0,0,1,3,10,0,1,0.725,0.21428571428571427
0,7,宋体,0,1,5,0,0,1,3,10,0,0,0.4615385,0.0
0,0,宋体,0,1,5,0,2,0,1,10,0,0,0,0.42857142857142855
0,0,宋体,0,0,5,0,0,1,3,10,0,1,0.915,0.21428571428571427
0,0,TimesNewRoman,-1,1,8,2,0,0,4,3,0,0,1,0.21428571428571427
0,0,宋体,0,0,5,0,0,1,3,10,0,1,0.85,0.21428571428571427
0,7,宋体,0,1,5,0,0,1,1,10,0,0,0.3,0.0
0,0,宋体,0,1,5,0,2,0,1,10,0,0,0,0.42857142857142855
0,0,宋体,0,0,5,0,0,0,4,10,0,1,0.5813953,0.21428571428571427
0,0,TimesNewRoman,-1,1,8,2,0,0,4,3,0,0,1,0.21428571428571427
0,0,宋体,0,0,5,0,0,1,3,10,0,1,0.7670454,0.21428571428571427
0,0,TimesNewRoman,-1,1,8,2,0,0,4,3,0,0,1,0.21428571428571427
1,0,宋体,0,0,5,0,0,1,3,10,0,1,0.7869822,0.21428571428571427
1,7,宋体,0,1,5,0,0,0,1,10,0,0,0.75,0.0
1,0,宋体,0,1,5,0,2,0,1,10,0,0,0,0.42857142857142855
1,0,TimesNewRoman,-1,1,8,2,0,0,4,3,0,0,0.5,0.21428571428571427
1,0,TimesNewRoman,0,0,5,0,0,1,4,10,0,0,0.8030303,0.21428571428571427
1,0,Cambria,-1,1,5,2,0,0,4,2,0,0,1,0.42857142857142855
1,0,宋体,0,0,5,0,0,1,4,10,0,1,0.965,0.21428571428571427
1,0,TimesNewRoman,-1,1,8,2,0,0,4,3,0,0,1,0.21428571428571427
1,0,宋体,0,0,5,0,0,1,4,10,0,1,0.71,0.21428571428571427
1,7,宋体,0,1,5,0,0,0,1,10,0,0,0.375,0.0
1,0,宋体,0,1,5,0,2,0,1,10,0,1,0,0.42857142857142855
1,0,TimesNewRoman,-1,1,8,2,0,0,4,3,0,0,0.7142857,0.21428571428571427
1,0,宋体,0,0,5,0,0,1,4,10,0,1,0.835,0.21428571428571427
1,0,Cambria,-1,1,5,2,0,0,4,2,0,0,1,0.42857142857142855
1,0,宋体,0,0,5,0,0,1,4,10,0,1,0.9637306,0.21428571428571427
1,0,TimesNewRoman,-1,1,8,2,0,0,4,3,0,0,0.7142857,0.21428571428571427
1,0,宋体,0,0,5,0,0,1,4,10,0,1,0.7463768,0.21428571428571427
1,7,宋体,0,1,5,0,0,0,1,10,0,0,0.6,0.0
1,0,宋体,0,1,5,0,2,0,1,10,0,0,0,0.42857142857142855
