段落角色,等号,关键字,字体,字形,字数,编号,编号位置,word对象,缩进,对齐方式,大纲级别,标点,中文比例,邮箱符号,字号
15,1,5,宋体,0,1,5,2,0,-1,3,10,0,1,1,0.65625
15,1,0,宋体,0,1,5,2,0,-1,3,10,0,0,1,0.65625
15,1,0,宋体,0,1,5,2,0,-1,3,10,0,0,1,0.65625
15,1,0,宋体,0,1,5,2,0,-1,3,10,0,0,1,0.65625
12,1,0,宋体,-1,1,8,2,0,0,3,3,0,0,1,0.65625
15,1,0,宋体,0,1,5,0,0,0,3,10,0,1,0.8350515,0.65625
17,1,0,CambriaMath,0,0,5,3,4,0,3,10,0,1,0.04651163,0.65625
15,1,0,宋体,0,1,5,0,0,0,3,10,0,1,0.5416667,0.65625
12,1,0,宋体,-1,1,8,2,0,0,3,3,0,0,1,0.65625
15,1,0,宋体,0,1,5,0,0,0,3,10,0,1,0.9215686,0.65625
17,1,0,CambriaMath,0,0,5,3,4,1,3,10,0,1,0.03496503,0.65625
12,1,0,宋体,-1,1,8,2,0,0,3,3,0,0,1,0.65625
15,1,0,宋体,0,1,5,0,0,1,3,10,0,1,1,0.65625
15,1,0,宋体,0,1,5,2,0,-1,3,10,0,1,1,0.65625
17,1,0,CambriaMath,0,0,5,3,4,1,3,10,0,1,0.02439024,0.65625
15,1,0,宋体,0,1,5,2,0,-1,3,10,0,1,1,0.65625
17,1,0,CambriaMath,0,0,5,3,4,0,3,10,0,1,0,0.65625
15,1,0,宋体,0,1,5,2,0,1,3,10,0,1,0.8333333,0.65625
10,1,0,宋体,-1,1,5,2,0,0,1,1,0,0,1,1.0
15,1,5,宋体,0,0,5,0,0,1,3,10,0,1,0.985,0.65625
11,1,0,宋体,-1,1,5,2,0,0,3,2,0,0,1,0.75
12,1,0,宋体,-1,1,8,2,0,0,3,3,0,0,1,0.65625
15,1,0,宋体,0,0,5,0,0,1,3,10,0,1,0.86,0.65625
15,1,0,宋体,0,1,3,2,0,0,3,10,0,1,0.9285714,0.65625
17,1,0,宋体,0,1,5,3,0,1,3,10,0,1,0.25,0.65625
15,1,0,宋体,0,1,5,0,0,1,3,10,0,1,1,0.65625
15,1,0,宋体,0,0,3,2,0,0,3,10,0,1,0.75,0.65625
17,1,0,宋体,0,1,5,3,0,1,3,10,0,1,0,0.65625
15,1,0,宋体,0,1,5,0,0,1,3,10,0,1,1,0.65625
15,1,0,宋体,0,1,3,2,0,0,3,10,0,1,0.8965517,0.65625
17,1,0,宋体,0,1,5,3,2,1,3,10,0,1,0,0.65625
15,1,0,宋体,0,0,5,0,0,1,3,10,0,1,0.95,0.65625
6,1,0,宋体,0,0,5,0,0,1,1,10,0,1,0,0.65625
7,1,5,宋体,0,1,5,0,0,1,1,10,0,0,1,0.5625
12,1,0,宋体,-1,1,8,2,0,0,3,3,0,0,1,0.65625
15,1,0,宋体,0,0,5,0,0,1,3,10,0,1,1,0.65625
6,1,0,宋体,0,1,5,0,2,1,1,10,0,1,0,0.65625
7,1,5,宋体,0,1,5,0,0,1,1,10,0,0,1,0.5625
15,1,0,宋体,0,0,5,0,0,1,3,10,0,1,0.995,0.65625
11,1,0,宋体,-1,1,5,2,0,0,3,2,0,0,1,0.75
15,1,0,宋体,0,1,5,0,0,1,3,10,0,1,1,0.65625
12,1,0,宋体,-1,1,8,2,0,0,3,3,0,0,0.25,0.65625
15,1,0,宋体,0,0,5,0,0,1,4,10,0,1,0.8465909,0.65625
6,1,0,宋体,0,1,5,0,0,1,4,10,0,1,0,0.65625
7,1,5,宋体,0,1,5,0,0,1,3,10,0,0,1,0.5625
7,1,5,宋体,0,1,5,0,0,1,3,10,0,0,0.5263158,0.5625
6,1,0,宋体,0,1,5,0,0,1,1,10,0,1,0,0.65625
7,1,5,宋体,0,1,5,0,0,1,3,10,0,0,1,0.5625
7,1,5,宋体,0,1,5,0,0,1,3,10,0,0,0.5263158,0.5625
15,1,0,宋体,0,1,5,0,0,1,3,10,0,1,0.55,0.65625
15,1,0,宋体,0,1,5,2,0,-1,3,10,0,1,0.8888889,0.65625
15,1,0,宋体,0,0,5,2,0,-1,3,10,0,1,1,0.65625
15,1,0,宋体,0,1,5,2,0,-1,3,10,0,1,1,0.65625
15,1,0,宋体,0,1,5,2,0,-1,3,10,0,1,1,0.65625
15,1,0,宋体,0,1,5,2,0,-1,3,10,0,1,1,0.65625
15,1,0,宋体,0,1,5,2,0,-1,3,10,0,1,1,0.65625
15,1,0,宋体,0,1,5,2,0,-1,3,10,0,1,0.9693878,0.65625
12,1,0,宋体,-1,1,8,2,0,0,3,3,0,0,1,0.65625
15,1,0,宋体,0,0,5,0,4,1,3,10,0,1,0.7340425,0.65625
15,1,0,宋体,0,0,5,2,0,-1,3,10,0,1,0.24,0.65625
15,1,0,宋体,0,0,5,2,0,-1,3,10,0,1,0.1311475,0.65625
15,1,0,宋体,0,1,5,2,0,-1,3,10,0,1,0.2857143,0.65625
15,1,0,宋体,0,1,5,0,0,1,3,10,0,1,1,0.65625
15,1,0,宋体,0,1,5,2,0,-1,3,10,0,1,1,0.65625
15,1,0,宋体,0,1,5,2,0,-1,3,10,0,1,1,0.65625
15,1,0,宋体,0,1,5,2,0,-1,3,10,0,1,1,0.65625
15,1,0,宋体,0,1,5,0,0,1,3,10,0,1,0.5384616,0.65625
6,1,0,宋体,0,0,5,0,0,1,1,10,0,1,0,0.65625
7,1,5,宋体,0,1,5,0,0,1,1,10,0,0,1,0.5625
11,1,0,宋体,-1,1,5,2,0,0,3,2,0,0,1,0.75
15,1,0,宋体,0,1,5,0,0,0,3,10,0,1,0.9651163,0.65625
15,1,0,宋体,0,1,5,2,0,-1,3,10,0,1,0.9294118,0.65625
15,1,0,宋体,0,1,5,2,0,-1,3,10,0,1,0.9594595,0.65625
15,1,0,宋体,0,1,5,2,0,-1,3,10,0,1,0.9722222,0.65625
6,1,0,宋体,0,1,5,0,2,0,1,10,0,1,0,0.65625
7,1,5,宋体,0,1,5,0,0,1,1,10,0,0,1,0.5625
6,1,0,宋体,0,1,5,0,0,1,3,10,0,1,0,0.65625
7,1,5,宋体,0,1,5,0,0,0,3,10,0,0,0.9166667,0.75
7,1,5,宋体,0,1,5,0,0,0,3,10,0,0,0.9230769,0.75
6,1,0,宋体,0,1,5,0,2,1,1,10,0,1,0,0.65625
7,1,5,宋体,0,1,5,0,0,1,1,10,0,0,0.9411765,0.5625
6,1,0,宋体,0,1,5,0,0,1,3,10,0,1,0,0.65625
7,1,5,宋体,0,1,5,0,0,0,3,10,0,0,0.9166667,0.75
7,1,5,宋体,0,1,5,0,0,0,3,10,0,0,0.9230769,0.75
6,1,0,宋体,0,1,5,0,2,1,1,10,0,1,0,0.65625
7,1,5,宋体,0,1,5,0,0,1,1,10,0,0,1,0.5625
11,1,0,宋体,-1,1,5,2,0,0,3,2,0,0,1,0.75
12,1,0,宋体,-1,1,8,2,0,0,3,3,0,0,1,0.65625
15,1,0,宋体,0,0,5,0,0,1,3,10,0,1,0.995,0.65625
15,1,0,宋体,0,1,5,2,0,-1,3,10,0,0,1,0.65625
15,1,0,宋体,0,1,5,2,0,-1,3,10,0,1,0.9795918,0.65625
15,1,0,宋体,0,1,5,2,0,-1,3,10,0,1,1,0.65625
15,1,0,宋体,0,1,5,0,0,0,3,10,0,1,0.7857143,0.65625
15,1,0,宋体,0,0,3,2,0,0,3,10,0,1,1,0.65625
15,1,0,宋体,0,1,3,2,0,0,3,10,0,1,1,0.65625
12,1,0,宋体,-1,1,8,2,0,0,3,3,0,0,1,0.65625
15,1,0,宋体,0,0,5,0,0,1,3,10,0,1,0.8965517,0.65625
15,1,0,宋体,0,1,5,2,0,-1,3,10,0,1,0.9285714,0.65625
15,1,0,宋体,0,1,5,2,0,-1,3,10,0,1,0.948718,0.65625
15,1,5,宋体,0,0,5,2,0,-1,3,10,0,1,0.9714286,0.65625
10,1,0,宋体,0,1,5,2,0,1,1,1,0,0,0.4166667,0.0
15,1,0,宋体,0,0,5,0,0,1,3,10,0,1,0.82,0.65625
11,1,0,宋体,-1,1,5,2,0,0,3,2,0,1,0.4736842,0.75
15,1,0,宋体,0,0,5,0,0,1,3,10,0,1,0.7666667,0.65625
6,1,0,宋体,0,1,5,0,2,1,1,10,0,1,0,0.65625
7,1,5,宋体,0,1,5,0,0,1,1,10,0,0,1,0.5625
15,1,0,宋体,0,0,5,0,0,1,3,10,0,1,0.9482759,0.65625
17,1,0,TimesNewRoman,0,1,5,3,0,1,1,10,0,1,0.05,0.65625
15,1,0,宋体,0,0,5,0,0,1,3,10,0,1,0.7622951,0.65625
6,1,0,宋体,0,1,5,0,2,1,1,10,0,1,0,0.65625
7,1,5,宋体,0,1,5,0,0,1,1,10,0,0,0.6315789,0.5625
15,1,0,宋体,0,0,5,0,0,1,3,10,0,1,0.7522124,0.65625
17,1,0,TimesNewRoman,0,1,5,3,0,1,1,10,0,1,0.05,0.65625
17,1,0,TimesNewRoman,0,0,5,3,4,1,1,10,0,1,0,0.65625
17,1,0,TimesNewRoman,0,1,5,3,0,1,1,10,0,1,0,0.65625
15,1,0,宋体,0,1,5,0,0,1,3,10,0,1,0.7710843,0.65625
17,1,0,TimesNewRoman,0,0,5,3,4,1,1,10,0,1,0.02857143,0.65625
15,1,0,宋体,0,1,5,0,0,1,3,10,0,1,0.8653846,0.65625
17,1,0,TimesNewRoman,0,1,5,3,4,1,1,10,0,1,0,0.65625
15,1,0,宋体,0,0,5,0,0,1,3,10,0,1,0.8764706,0.65625
15,1,0,宋体,0,0,5,2,0,-1,3,10,0,1,0.9272727,0.65625
15,1,0,宋体,0,1,5,2,0,-1,3,10,0,1,0.9714286,0.65625
15,1,0,TimesNewRoman,0,0,5,2,4,-1,3,10,0,1,0.6947368,0.65625
15,1,0,宋体,0,1,5,2,0,-1,3,10,0,1,0.7692308,0.65625
11,1,0,宋体,-1,1,5,2,0,0,3,2,0,1,0.4736842,0.75
12,1,0,宋体,-1,1,8,2,0,0,3,3,0,0,0.6666667,0.65625
15,1,0,宋体,0,1,5,0,0,1,3,10,0,1,0.7272727,0.65625
17,1,0,CambriaMath,0,0,5,3,4,1,1,10,0,1,0,0.65625
15,1,0,宋体,0,0,5,0,0,1,3,10,0,0,0.8285714,0.65625
17,1,0,CambriaMath,0,1,5,3,4,1,1,10,0,1,0,0.65625
15,1,0,宋体,0,1,5,0,0,1,3,10,0,1,0.75,0.65625
17,1,0,CambriaMath,0,0,5,3,4,1,1,10,0,1,0,0.65625
17,1,0,CambriaMath,0,0,5,3,4,1,1,10,0,1,0.0212766,0.65625
17,1,0,CambriaMath,0,0,5,3,4,1,1,10,0,1,0,0.65625
15,1,0,宋体,0,1,5,0,4,1,3,10,0,1,0.7428572,0.65625
17,1,0,CambriaMath,0,0,5,3,4,1,1,10,0,1,0,0.65625
12,1,0,宋体,-1,1,8,2,0,0,3,3,0,0,0.5833333,0.65625
15,1,0,宋体,0,0,5,0,0,1,3,10,0,1,0.6581632,0.65625
16,1,0,TimesNewRoman,0,0,5,0,0,1,3,10,0,1,0.2774869,0.65625
15,1,0,宋体,0,1,5,0,0,0,3,10,0,1,0.8979592,0.65625
11,1,0,宋体,-1,1,5,2,0,0,3,2,0,0,1,0.75
15,1,0,宋体,0,1,5,0,0,1,3,10,0,1,0.9113924,0.65625
6,1,0,宋体,0,0,5,0,0,1,1,10,0,1,0,0.65625
7,1,5,宋体,0,1,5,0,0,1,1,10,0,0,0.5882353,0.5625
12,1,0,宋体,-1,1,8,2,0,0,3,3,0,0,0.5714286,0.65625
15,1,0,宋体,0,0,5,0,0,1,3,10,0,1,0.92,0.65625
12,1,0,宋体,-1,1,8,2,0,0,3,3,0,0,0.5714286,0.65625
15,1,0,宋体,0,1,5,0,0,1,3,10,0,1,0.92,0.65625
12,1,0,宋体,-1,1,8,2,0,0,3,3,0,0,0.4444444,0.65625
15,1,0,宋体,0,1,3,2,0,1,3,10,0,1,0.6666667,0.65625
15,1,0,宋体,0,1,3,2,0,1,3,10,0,0,0.8714285,0.65625
10,1,0,宋体,-1,1,5,2,0,1,1,1,0,0,1,1.0
15,1,0,宋体,0,1,5,0,0,1,3,10,0,1,0.9090909,0.65625
11,1,0,宋体,-1,1,5,2,0,0,3,2,0,0,1,0.75
15,1,0,宋体,0,0,5,0,0,1,3,10,0,0,0.735,0.65625
9,1,7,宋体,0,1,5,0,0,1,1,10,0,0,0.7272727,0.5625
8,1,0,宋体,0,0,5,0,0,1,1,10,0,0,0.05208333,0.65625
9,1,7,宋体,0,1,5,0,0,1,1,10,0,0,0.7272727,0.5625
8,1,0,宋体,0,0,5,0,0,1,1,10,0,0,0.05208333,0.65625
9,1,7,宋体,0,1,5,0,0,1,1,10,0,0,0.6153846,0.5625
8,1,0,宋体,0,0,5,0,0,1,1,10,0,0,0.05208333,0.65625
11,1,0,宋体,-1,1,5,2,0,0,3,2,0,0,1,0.75
15,1,0,宋体,0,1,5,0,0,1,3,10,0,1,1,0.65625
15,1,0,宋体,0,1,5,2,0,-1,3,10,0,1,0.9160839,0.65625
15,1,0,宋体,0,0,5,2,0,-1,3,10,0,1,0.8383839,0.65625
15,1,0,宋体,0,0,5,2,0,-1,3,10,0,1,0.835443,0.65625
9,1,7,宋体,0,1,5,0,0,0,1,10,0,0,1,0.65625
8,1,0,宋体,0,0,5,0,0,0,1,10,0,0,0.6783919,0.65625
15,1,0,宋体,0,1,5,0,0,0,3,10,0,1,1,0.65625
15,1,0,宋体,0,0,5,2,0,-1,3,10,0,1,1,0.65625
15,1,0,宋体,0,1,5,2,0,-1,3,10,0,1,0.8909091,0.65625
15,1,0,宋体,0,0,5,2,0,-1,3,10,0,1,1,0.65625
11,1,0,宋体,-1,1,5,2,0,0,3,2,0,0,1,0.75
12,1,0,宋体,-1,1,8,2,0,0,3,3,0,0,1,0.65625
15,1,0,宋体,0,0,5,0,0,1,3,10,0,1,0.9794872,0.65625
9,1,7,宋体,0,1,5,0,0,1,1,10,0,0,1,0.5625
8,1,0,宋体,0,1,5,0,2,1,1,10,0,1,0,0.65625
12,1,0,宋体,-1,1,8,2,0,0,3,3,0,0,1,0.65625
15,1,0,宋体,0,1,3,2,0,0,4,10,0,0,1,0.65625
15,1,0,宋体,0,0,5,0,0,1,4,10,0,1,1,0.65625
15,1,0,宋体,0,1,3,2,0,0,4,10,0,0,1,0.65625
15,1,0,宋体,0,0,5,0,0,1,4,10,0,1,1,0.65625
15,1,0,宋体,0,1,5,2,0,-1,4,10,0,0,1,0.65625
15,1,0,CambriaMath,0,1,5,3,0,0,4,10,0,1,1,0.65625
15,1,0,宋体,0,1,5,0,4,0,4,10,0,1,0.6923077,0.65625
15,1,0,宋体,0,1,5,2,0,-1,4,10,0,0,0.25,0.65625
15,1,0,CambriaMath,0,1,5,3,0,0,4,10,0,1,0.6538461,0.65625
17,1,0,CambriaMath,0,0,5,3,4,0,4,10,0,1,0,0.65625
15,1,0,宋体,0,0,5,0,4,0,4,10,0,1,0.6702127,0.65625
11,1,0,宋体,-1,1,5,2,0,0,3,2,0,0,1,0.75
15,1,0,宋体,0,0,5,0,0,1,3,10,0,1,0.8974359,0.65625
15,1,0,宋体,0,0,3,2,0,-1,3,10,0,1,0.8296296,0.65625
6,1,0,宋体,0,1,5,0,2,1,1,10,0,1,0,0.65625
7,1,5,宋体,0,1,5,0,0,1,1,10,0,0,1,0.5625
15,1,0,宋体,0,0,3,2,0,-1,3,10,0,1,0.9264706,0.65625
6,1,0,宋体,0,1,5,0,2,1,1,10,0,1,0,0.65625
7,1,5,宋体,0,1,5,0,0,1,1,10,0,0,1,0.5625
15,1,0,宋体,0,0,3,2,0,-1,3,10,0,1,1,0.65625
6,1,0,宋体,0,1,5,0,2,1,1,10,0,1,0,0.65625
7,1,5,宋体,0,1,5,0,0,1,1,10,0,0,1,0.5625
15,1,0,宋体,0,0,5,0,0,0,3,10,0,1,0.5408805,0.65625
16,1,0,宋体,0,1,5,0,2,1,1,10,0,1,0,0.65625
15,1,0,宋体,0,1,5,0,0,1,3,10,0,1,1,0.65625
10,1,0,宋体,0,1,5,2,0,1,1,1,0,0,1,0.0
15,1,0,宋体,0,0,5,0,0,1,3,10,0,1,0.8729282,0.65625
11,1,0,0,-1,1,5,2,0,0,3,2,0,0,0.6666667,0.0
15,1,0,宋体,0,0,5,0,0,1,3,10,0,1,0.9,0.65625
15,1,0,宋体,0,1,5,2,0,-1,3,10,0,1,1,0.65625
15,1,0,宋体,0,1,5,2,0,-1,3,10,0,1,1,0.65625
15,1,0,宋体,0,1,5,2,0,-1,3,10,0,1,0.7272727,0.65625
11,1,0,0,-1,1,5,2,0,0,3,2,0,0,0.5714286,0.0
15,1,0,宋体,0,0,5,0,0,1,3,10,0,1,0.995,0.65625
18,1,0,宋体,-1,1,5,0,0,1,1,1,0,0,1,1.0
19,1,0,宋体,0,0,5,0,0,1,3,10,0,1,1,0.65625
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,0,0,宋体,0,0,5,0,0,1,3,10,0,1,0.97,0.0
3,0,4,宋体,-1,1,5,0,0,0,3,10,0,0,1,0.0
4,0,0,TimesNewRoman,0,0,5,0,0,0,3,10,0,1,0,0.2727272727272727
5,0,2,TimesNewRoman,-1,1,5,0,0,0,3,10,0,0,0,0.2727272727272727
10,0,0,宋体,-1,1,2,2,0,-1,1,1,0,0,1,1.0
11,0,0,宋体,-1,1,5,2,0,-1,4,2,0,0,1,0.2727272727272727
15,0,0,宋体,0,0,5,0,0,1,3,10,0,1,1,0.0
15,0,0,宋体,0,1,5,2,0,-1,3,10,0,1,1,0.0
15,0,0,宋体,0,1,5,2,0,-1,3,10,0,1,1,0.0
15,0,0,宋体,0,1,5,2,0,-1,3,10,0,1,1,0.0
15,0,0,宋体,0,0,5,0,0,1,3,10,0,1,1,0.0
11,0,0,宋体,-1,1,5,2,0,-1,4,2,0,0,1,0.2727272727272727
15,0,0,宋体,0,0,5,0,0,1,3,10,0,1,1,0.0
11,0,0,宋体,-1,1,5,2,0,-1,4,2,0,0,1,0.2727272727272727
15,0,0,宋体,0,0,5,0,0,1,3,10,0,1,1,0.0
6,0,0,TimesNewRoman,0,1,5,0,4,0,3,10,0,0,0,0.0
7,0,0,宋体,0,1,7,2,0,-1,3,10,0,0,1,0.0
15,0,0,宋体,0,0,5,0,0,1,3,10,0,1,1,0.0
15,0,0,宋体,0,1,5,2,0,-1,3,10,0,1,1,0.0
15,0,0,宋体,0,1,5,2,0,-1,3,10,0,1,1,0.0
15,0,0,宋体,0,1,5,2,0,-1,3,10,0,1,1,0.0
15,0,0,宋体,0,1,5,2,0,-1,3,10,0,1,1,0.0
11,0,0,宋体,-1,1,5,2,0,-1,4,2,0,0,1,0.2727272727272727
15,0,0,宋体,0,0,5,0,0,1,3,10,0,1,0.97,0.0
10,0,0,宋体,-1,1,2,2,0,-1,1,1,0,0,1,1.0
11,0,0,宋体,-1,1,5,2,0,-1,4,2,0,0,1,0.2727272727272727
15,0,0,TimesNewRoman,0,0,1,2,0,1,3,10,0,1,0.7794872,0.0
15,0,0,宋体,0,1,5,2,0,-1,3,10,0,1,1,0.0
15,0,0,宋体,0,1,5,2,0,-1,3,10,0,1,1,0.0
15,0,0,宋体,0,1,5,0,0,1,3,10,0,1,1,0.0
12,0,0,宋体,-1,1,5,2,0,-1,4,3,0,0,1,0.0
15,0,0,宋体,0,0,5,0,0,1,3,10,0,1,0.9447236,0.0
12,0,0,宋体,-1,1,5,2,0,-1,4,3,0,0,1,0.0
15,0,0,宋体,0,0,5,0,0,1,3,10,0,1,1,0.0
15,0,0,宋体,0,0,5,2,0,-1,3,10,0,1,1,0.0
15,0,0,宋体,0,0,5,2,0,-1,3,10,0,1,1,0.0
15,0,0,宋体,0,0,5,2,0,-1,3,10,0,1,1,0.0
15,0,0,宋体,0,0,5,2,0,-1,3,10,0,1,1,0.0
15,0,0,宋体,0,0,5,2,0,-1,3,10,0,1,1,0.0
15,0,0,宋体,0,1,5,0,0,1,3,10,0,1,1,0.0
12,0,0,宋体,-1,1,5,2,0,-1,4,3,0,0,1,0.0
15,0,0,宋体,0,0,5,0,0,1,3,10,0,1,0.9045226,0.0
12,0,0,宋体,-1,1,5,2,0,-1,4,3,0,0,1,0.0
15,0,0,宋体,0,1,5,0,0,1,3,10,0,1,1,0.0
15,0,0,宋体,0,1,5,2,0,-1,3,10,0,0,1,0.0
15,0,0,宋体,0,1,5,2,0,-1,3,10,0,0,1,0.0
15,0,0,宋体,0,1,5,2,0,-1,3,10,0,0,1,0.0
15,0,0,宋体,0,1,5,2,0,-1,3,10,0,0,1,0.0
15,0,0,宋体,0,1,5,2,0,-1,3,10,0,0,1,0.0
15,0,0,宋体,0,0,5,0,0,1,3,10,0,1,0.995,0.0
15,0,0,宋体,0,1,5,2,0,-1,3,10,0,1,1,0.0
15,0,0,宋体,0,1,5,2,0,-1,3,10,0,1,1,0.0
15,0,0,宋体,0,1,5,2,0,-1,3,10,0,1,1,0.0
15,0,0,宋体,0,1,5,0,0,1,3,10,0,1,1,0.0
11,0,0,宋体,-1,1,5,2,0,-1,4,2,0,0,1,0.2727272727272727
12,0,0,宋体,-1,1,5,2,0,-1,4,3,0,0,1,0.0
15,0,0,宋体,0,0,5,0,0,1,3,10,0,1,0.9346734,0.0
6,0,0,TimesNewRoman,0,1,5,0,4,1,1,10,0,0,0,0.0
7,0,0,宋体,0,1,7,2,0,-1,3,10,0,0,1,0.0
15,0,5,宋体,0,1,5,0,0,0,3,10,0,1,0.8125,0.0
6,0,0,TimesNewRoman,0,1,5,0,4,0,3,10,0,0,0,0.0
7,0,0,宋体,0,1,7,2,0,-1,3,10,0,0,1,0.0
15,0,0,宋体,0,1,5,0,0,0,3,10,0,1,1,0.0
15,0,0,宋体,0,1,5,2,0,-1,3,10,0,1,1,0.0
15,0,0,宋体,0,1,5,2,0,-1,3,10,0,1,1,0.0
15,0,0,宋体,0,0,5,2,0,-1,3,10,0,1,1,0.0
7,0,0,宋体,0,1,7,2,0,-1,3,10,0,0,1,0.0
15,0,0,宋体,0,1,5,0,0,1,3,10,0,1,0.7391304,0.0
12,0,0,宋体,-1,1,5,2,0,-1,4,3,0,0,1,0.0
15,0,0,宋体,0,1,5,0,0,0,3,10,0,1,1,0.0
15,0,0,宋体,0,0,5,2,0,-1,3,10,0,1,0.9387755,0.0
15,0,0,宋体,0,1,5,2,0,-1,3,10,0,0,1,0.0
15,0,0,宋体,0,0,5,0,0,1,3,10,0,1,0.9909091,0.0
15,0,0,宋体,0,1,3,2,0,-1,3,10,0,1,1,0.0
15,1,0,宋体,0,1,3,2,0,-1,3,10,0,1,0.64,0.0
15,1,0,宋体,0,1,3,2,0,-1,3,10,0,1,0.6190476,0.0
15,1,0,宋体,0,1,5,2,0,-1,3,10,0,1,1,0.0
15,1,0,宋体,0,1,5,2,0,-1,3,10,0,1,1,0.0
15,1,0,宋体,0,1,5,2,0,-1,3,10,0,1,1,0.0
11,1,0,宋体,-1,1,5,2,0,-1,4,2,0,0,1,0.2727272727272727
12,1,0,宋体,-1,1,5,2,0,-1,4,3,0,0,1,0.0
15,1,0,宋体,0,0,5,0,0,1,3,10,0,1,0.975,0.0
6,1,0,TimesNewRoman,0,1,5,0,4,1,3,10,0,0,0,0.0
7,1,0,TimesNewRoman,0,1,7,2,0,-1,3,10,0,0,0.9,0.0
15,1,0,宋体,0,0,5,0,0,1,3,10,0,1,0.8707865,0.0
12,1,0,宋体,-1,1,5,2,0,-1,4,3,0,0,1,0.0
15,1,0,宋体,0,0,5,0,0,0,3,10,0,1,0.9824561,0.0
11,1,0,宋体,-1,1,5,2,0,-1,4,2,0,0,1,0.2727272727272727
15,1,0,宋体,0,1,5,0,0,0,3,10,0,1,1,0.0
15,1,0,宋体,0,1,5,2,0,-1,3,10,0,1,1,0.0
15,1,0,宋体,0,1,5,2,0,-1,3,10,0,1,1,0.0
15,1,0,宋体,0,1,5,2,0,-1,3,10,0,1,1,0.0
11,1,0,宋体,-1,1,5,2,0,-1,4,2,0,0,1,0.2727272727272727
15,1,0,宋体,0,1,5,0,0,1,3,10,0,1,1,0.0
10,1,0,宋体,-1,1,2,2,0,-1,1,1,0,0,1,1.0
11,1,0,宋体,-1,1,5,2,0,-1,4,2,0,0,0.1428571,0.2727272727272727
15,1,0,宋体,0,0,5,0,0,1,3,10,0,1,0.6666667,0.0
15,1,0,宋体,-1,1,5,2,0,-1,4,10,0,0,0.36,0.0
